outcome,plug_beta,plug_se,boot_beta,boot_lo,boot_hi,boot_se,se_ratio,n_boot
mims_mean_per_day,-0.587180731082373,0.1608262910978886,-0.5902408550823649,-1.3618392516770286,-0.0592821878461144,0.36482387789820825,2.268434317596458,200
mvpa_min_day_karas,-3.4362860471844847,1.486302866968051,-3.453956396975746,-8.922570123356115,3.676510336722575,3.3648292317496398,2.2638920414744574,200
IS,-0.0265988256969922,0.0118443941304811,-0.02634338938398601,-0.05992033346448044,0.010527168700031451,0.01833283350371772,1.5478067769240191,200
IV,0.0434698895928195,0.017659676164584,0.043456715556217676,-0.018264034359328083,0.11207419777060632,0.034904640404073324,1.9765164479105022,200
astp,0.0107172368314941,0.0041520586367772,0.010760393481775016,-0.004420713867017097,0.0293780330739169,0.008770603191725955,2.1123505130779265,200
