outcome,label,n,beta,se,lo,hi,p,d
astp,ASTP (active→sedentary trans prob),2055,0.011339859187431205,0.004055070924538177,0.0030463079316152605,0.01963341044324715,0.009075935683612757,0.16217463412580027
mean_active_bout_proxy,Mean active bout length (min),2055,-0.1436196779982269,0.12821201559901002,-0.40584269277890267,0.11860333678244889,0.2718315075011395,-0.08168343906271974
mean_sed_bout_proxy,Mean sedentary bout length (min),2055,0.29711818922733413,0.07005602025460984,0.15383753999275704,0.4403988384619112,0.0002071160534646843,0.25875466437522804
transitions_per_day,Total transitions per day,2055,-5.823334741058634,1.6711260207627978,-9.241171214461978,-2.405498267655289,0.0015870554448100815,-0.30964477515759725
