cut_set,category,n,beta,lo,hi,p
karas,sedentary,2055,-2.933770175923734,-16.556382026134454,10.688841674286987,0.6628688446699038
karas,light,2055,-33.80323317233106,-47.95672537025737,-19.649740974404757,3.494937357317873e-05
karas,mvpa,2055,-3.439867375303184,-6.448762904278125,-0.4309718463282439,0.026483391772158305
wolff_hughes,sedentary,2055,0.7560603416965651,-12.017917682435339,13.53003836582847,0.9044846234751653
wolff_hughes,light,2055,-23.102426573025525,-35.95248134346177,-10.252371802589284,0.0009542102331356883
wolff_hughes,mvpa,2055,-17.830504492229007,-26.306577131536592,-9.354431852921424,0.0001750527635322463
belcher,sedentary,2055,-5.42865974435178,-19.845708464309098,8.98838897560554,0.4474572665047103
belcher,light,2055,-31.371321991911245,-44.81956215552512,-17.92308182829737,4.792479293858065e-05
belcher,mvpa,2055,-3.3768889872949392,-6.361594232399997,-0.3921837421898813,0.02795475862858776
