outcome,n,mec_beta,mec_se,mec_p,ipsw_beta,ipsw_se,ipsw_p,pct_change
mims_mean_per_day,2055,-0.6120332594400765,0.15554185579983593,0.0004773553404855413,-0.587180731082373,0.16082629109788862,0.0010225431472028479,4.060649968670003
mvpa_min_day_karas,2055,-3.439867375303184,1.4711773519169984,0.026483391772158305,-3.4362860471844847,1.486302866968051,0.028079555153817326,0.10411238946047233
IS,2055,-0.028282806865793795,0.01185719330353228,0.023819574772477203,-0.02659882569699226,0.011844394130481115,0.03251307003681325,5.9540807841042165
IV,2055,0.04754410345118953,0.01781670843820833,0.012342978027922724,0.043469889592819506,0.01765967616458409,0.020022385192294045,-8.5693357590658
astp,2055,0.011339859187431205,0.004055070924538177,0.009075935683612757,0.010717236831494165,0.004152058636777276,0.01517001270654772,-5.490565144116938
