mediator,outcome,n,TE,TE_lo,TE_hi,NDE,NDE_lo,NDE_hi,NIE,NIE_lo,NIE_hi,p_med
phq9_score,mims_mean_per_day,2064,-0.6775260194609004,-0.9741404709911283,-0.34667210777827434,-0.6777898057095547,-0.972425013887913,-0.319927733112098,0.0002637862486542145,-0.02834517340948603,0.01724841902034815,-0.03893374439908687
phq9_score,mvpa_min_day_karas,2064,-3.9975609140788535,-7.030643544200221,-1.420726184517918,-4.00166013412634,-7.157221964725493,-1.3615857889544205,0.004099220047485964,-0.24725419121771897,0.19917230614351158,-0.10254302900173655
phq9_score,IS,2064,-0.030154972358453092,-0.050162712913824466,-0.006595931660863793,-0.0301898833307595,-0.050059925965281415,-0.006085426582713243,3.491097230640676e-05,-0.0019480420005342945,0.0014802049210960887,-0.1157718597497585
phq9_score,IV,2064,0.048516380713988595,0.012824015997160468,0.0801292939090728,0.0485436250581781,0.011971463144302752,0.0799603911473826,-2.7244344189507006e-05,-0.0014659485384192973,0.0016894255783341662,-0.05615493940101702
phq9_score,astp,2064,0.012304413457480788,0.0032735100607745224,0.019777473001605605,0.01230930711106609,0.0033431984133821275,0.019829983182220047,-4.893653585301162e-06,-0.00035748510000698327,0.0005865861234321151,-0.0397715307780554
bmi,mims_mean_per_day,2146,-0.70386116757403,-1.059448160700471,-0.24447637308084444,-0.6294799789951924,-0.9101095257677866,-0.32117336896634896,-0.07438118857883759,-0.2103726561622511,0.0972946447485655,10.567593725223432
bmi,mvpa_min_day_karas,2146,-4.105645236970079,-6.888142875888289,-0.8953031387869359,-3.5021711794284442,-6.666254297713634,-0.6603416508238229,-0.6034740575416347,-1.7833348748645954,0.7717621313881012,14.698641083441295
bmi,IS,2146,-0.03111185239462581,-0.05354978077703336,-0.001864475945540568,-0.028798882146154725,-0.050253324156897254,-0.003377889867512372,-0.002312970248471083,-0.00709142164993432,0.0025410333988697647,7.434370088714551
bmi,IV,2146,0.051715711103055,0.014218307873799439,0.08998327859593111,0.04935885814081564,0.0134993914371212,0.08463960642755022,0.0023568529622393546,-0.0019244373784888798,0.009851239032913892,4.5573248669883
bmi,astp,2146,0.013438197281094702,0.002597750358579628,0.021929660743009532,0.011963232101822487,0.0035498921961393468,0.019641298786307458,0.0014749651792722149,-0.0021950646845860892,0.004095854879228107,10.975915507262602
