outcome,age (≥60),sex (female),smoking (ever),depression (PHQ9≥10)
mims_mean_per_day,0.015711343214389828,0.5431947605576344,0.23073122621006514,0.0946253493421878
mvpa_min_day_karas,0.42788480084055536,0.9995558650256946,0.8051976606608953,0.7494638570838497
IS,0.19331092455594678,0.8395869130033038,0.6383463086956782,0.44808905580756586
IV,0.0247321580681088,0.22648557243034007,0.46976276873388234,0.9179602561626836
astp,0.043076539687016746,0.10787778980177798,0.3688047939119514,0.08635808847891213
