coordinate,interpretation,n,beta,se,lo,hi,p
ilr_z1_wake_v_sleep,wake-time activity ÷ sleep time,1683,-0.10752024142284905,0.02970842324306897,-0.16828078926059786,-0.04675969358510023,0.0011127882472254935
ilr_z2_active_v_sed,active wake ÷ sedentary wake,1683,-0.16212193783455017,0.03382314389701943,-0.23129803432285415,-0.0929458413462462,4.505730126269647e-05
ilr_z3_mvpa_v_light,MVPA ÷ light intensity,1683,-0.12955211503796318,0.04663617303992928,-0.22493379853485657,-0.034170431541069815,0.00949278773491713
