Outcome,Model 1 (Unadjusted),Model 2 (+ demographics),Model 3 (+ comorbidities),"Model 4 (+ depression, ENT, meds)",n (M4)
Mean daily MIMS,-1.399 (-1.904 to -0.895)***,-0.738 (-1.189 to -0.288)**,-0.652 (-0.970 to -0.334)***,-0.612 (-0.930 to -0.294)***,2055
Sedentary (min/d),7.3 (-5.8 to 20.4),0.0 (-13.1 to 13.2),-1.9 (-14.6 to 10.8),-2.9 (-16.6 to 10.7),2055
MVPA (min/d),-10.9 (-14.5 to -7.2)***,-4.5 (-7.6 to -1.3)**,-3.8 (-6.6 to -1.0)*,-3.4 (-6.4 to -0.4)*,2055
